Continente y país de destino;Continente y país de destino;Continente y país de destino;Continente y país de destino;Concepto turístico;Periodo;Total
Total;Europa;Albania;;Duración media de los viajes;2020M08;10,8
Total;Europa;Albania;;Duración media de los viajes;2020M07;7
Total;Europa;Albania;;Duración media de los viajes;2020M06;4,8
Total;Europa;Albania;;Duración media de los viajes;2020M05;.
Total;Europa;Albania;;Duración media de los viajes;2020M04;.
Total;Europa;Albania;;Duración media de los viajes;2020M03;5,5
Total;Europa;Albania;;Duración media de los viajes;2020M02;5,1
Total;Europa;Albania;;Duración media de los viajes;2020M01;8
Total;Europa;Albania;;Duración media de los viajes;2019M12;5
Total;Europa;Albania;;Duración media de los viajes;2019M11;5,3
Total;Europa;Albania;;Duración media de los viajes;2019M10;7
Total;Europa;Albania;;Duración media de los viajes;2019M09;8,8
Total;Europa;Albania;;Duración media de los viajes;2019M08;11,6
Total;Europa;Albania;;Duración media de los viajes;2019M07;8,4
Total;Europa;Alemania;;Turistas;2023M04;104.915
Total;Europa;Alemania;;Turistas;2023M03;105.104
Total;Europa;Alemania;;Turistas;2023M02;87.098
Total;Europa;Alemania;;Turistas;2023M01;94.724
Total;Europa;Alemania;;Turistas;2022M12;130.088
Total;Europa;Alemania;;Turistas;2022M11;102.612
Total;Europa;Alemania;;Turistas;2022M10;104.005
Total;Europa;Alemania;;Turistas;2022M09;108.665
Total;Europa;Alemania;;Turistas;2022M08;101.847
Total;Europa;Alemania;;Turistas;2022M07;106.391
Total;Europa;Alemania;;Turistas;2022M06;104.245
Total;Europa;Alemania;;Turistas;2022M05;90.529
Total;Europa;Alemania;;Turistas;2022M04;87.425
Total;Europa;Alemania;;Turistas;2022M03;71.207
Total;Europa;Alemania;;Turistas;2022M02;45.182
Total;Europa;Alemania;;Turistas;2022M01;54.744
Total;Europa;Alemania;;Turistas;2021M12;87.016
Total;Europa;Alemania;;Turistas;2021M11;81.796
Total;Europa;Alemania;;Turistas;2021M10;78.935
Total;Europa;Alemania;;Turistas;2021M09;68.942
Total;Europa;Alemania;;Turistas;2021M08;67.000
Total;Europa;Alemania;;Turistas;2021M07;55.311
Total;Europa;Alemania;;Turistas;2021M06;39.955
Total;Europa;Alemania;;Turistas;2021M05;29.170
Total;Europa;Alemania;;Turistas;2021M04;24.557
Total;Europa;Alemania;;Turistas;2021M03;23.943
Total;Europa;Alemania;;Turistas;2021M02;14.036
Total;Europa;Alemania;;Turistas;2021M01;20.911
Total;Europa;Alemania;;Turistas;2020M12;27.484
Total;Europa;Alemania;;Turistas;2020M11;20.010
Total;Europa;Alemania;;Turistas;2020M10;29.573
Total;Europa;Alemania;;Turistas;2020M09;27.040
Total;Europa;Alemania;;Turistas;2020M08;41.037
Total;Europa;Alemania;;Turistas;2020M07;40.326
Total;Europa;Alemania;;Turistas;2020M06;13.853
Total;Europa;Alemania;;Turistas;2020M05;10.788
Total;Europa;Alemania;;Turistas;2020M04;8.072
Total;Europa;Alemania;;Turistas;2020M03;48.606
Total;Europa;Alemania;;Turistas;2020M02;107.430
Total;Europa;Alemania;;Turistas;2020M01;113.176
Total;Europa;Alemania;;Turistas;2019M12;148.013
Total;Europa;Alemania;;Turistas;2019M11;113.152
Total;Europa;Alemania;;Turistas;2019M10;111.879
Total;Europa;Alemania;;Turistas;2019M09;138.929
Total;Europa;Alemania;;Turistas;2019M08;145.299
Total;Europa;Alemania;;Turistas;2019M07;118.912
Total;Europa;Alemania;;Pernoctaciones;2023M04;547.460
Total;Europa;Alemania;;Pernoctaciones;2023M03;513.081
Total;Europa;Alemania;;Pernoctaciones;2023M02;439.599
Total;Europa;Alemania;;Pernoctaciones;2023M01;566.098
Total;Europa;Alemania;;Pernoctaciones;2022M12;774.673
Total;Europa;Alemania;;Pernoctaciones;2022M11;503.812
Total;Europa;Alemania;;Pernoctaciones;2022M10;539.022
Total;Europa;Alemania;;Pernoctaciones;2022M09;582.268
Total;Europa;Alemania;;Pernoctaciones;2022M08;798.207
Total;Europa;Alemania;;Pernoctaciones;2022M07;665.268
Total;Europa;Alemania;;Pernoctaciones;2022M06;538.895
Total;Europa;Alemania;;Pernoctaciones;2022M05;442.310
Total;Europa;Alemania;;Pernoctaciones;2022M04;485.540
Total;Europa;Alemania;;Pernoctaciones;2022M03;375.079
Total;Europa;Alemania;;Pernoctaciones;2022M02;258.385
Total;Europa;Alemania;;Pernoctaciones;2022M01;362.728
Total;Europa;Alemania;;Pernoctaciones;2021M12;567.411
Total;Europa;Alemania;;Pernoctaciones;2021M11;420.511
Total;Europa;Alemania;;Pernoctaciones;2021M10;443.974
Total;Europa;Alemania;;Pernoctaciones;2021M09;430.171
Total;Europa;Alemania;;Pernoctaciones;2021M08;567.961
Total;Europa;Alemania;;Pernoctaciones;2021M07;390.474
Total;Europa;Alemania;;Pernoctaciones;2021M06;253.447
Total;Europa;Alemania;;Pernoctaciones;2021M05;195.438
Total;Europa;Alemania;;Pernoctaciones;2021M04;177.116
Total;Europa;Alemania;;Pernoctaciones;2021M03;158.715
Total;Europa;Alemania;;Pernoctaciones;2021M02;93.725
Total;Europa;Alemania;;Pernoctaciones;2021M01;134.781
Total;Europa;Alemania;;Pernoctaciones;2020M12;248.662
Total;Europa;Alemania;;Pernoctaciones;2020M11;156.524
Total;Europa;Alemania;;Pernoctaciones;2020M10;225.218
Total;Europa;Alemania;;Pernoctaciones;2020M09;182.517
Total;Europa;Alemania;;Pernoctaciones;2020M08;431.655
Total;Europa;Alemania;;Pernoctaciones;2020M07;333.032
Total;Europa;Alemania;;Pernoctaciones;2020M06;93.209
Total;Europa;Alemania;;Pernoctaciones;2020M05;73.588
Total;Europa;Alemania;;Pernoctaciones;2020M04;54.551
Total;Europa;Alemania;;Pernoctaciones;2020M03;276.474
Total;Europa;Alemania;;Pernoctaciones;2020M02;514.644
Total;Europa;Alemania;;Pernoctaciones;2020M01;629.100
Total;Europa;Alemania;;Pernoctaciones;2019M12;802.042
Total;Europa;Alemania;;Pernoctaciones;2019M11;493.820
Total;Europa;Alemania;;Pernoctaciones;2019M10;526.579
Total;Europa;Alemania;;Pernoctaciones;2019M09;692.254
